date,total_asset
2025-12-01,3883378.0
2025-12-02,3897178.0
2025-12-03,3890925.0
2025-12-04,3911516.0
2025-12-05,3898664.0
2025-12-06,3982696.0
2025-12-08,3999365.0
2025-12-09,3973568.0
2025-12-10,3974939.0
2025-12-11,3966339.0
2025-12-12,3978929.0
2025-12-15,3926375.0
2025-12-16,3849903.0
2025-12-17,3864633.0
2025-12-18,3862727.0
2025-12-19,3935868.0
2025-12-22,3945168.0
2025-12-23,3943836.0
2025-12-24,3931960.0
2025-12-25,3932266.0
2025-12-26,3946416.0
2025-12-29,3918919.0
2025-12-30,3909458.0
2025-12-31,3898235.0
2026-01-05,3964737.0
2026-01-06,3993394.0
2026-01-07,3976015.0
2026-01-08,3996947.0
2026-01-09,4016380.0
2026-01-12,4165475.0
2026-01-13,4236315.0
2026-01-14,4219738.3
2026-01-16,4140259.3
2026-01-20,4172884.0
2026-01-21,4052652.0
2026-01-22,4008529.0
2026-01-23,4018846.0
2026-01-26,4027769.0
2026-01-27,4003465.0
2026-01-28,3979687.0
2026-01-29,4046627.0
2026-02-04,3981696.0
2026-02-05,4004036.0
2026-02-06,3988029.0
2026-02-09,4007963.0
2026-02-10,4047305.0
2026-02-11,4063398.0
2026-02-12,4020469.0
